title_1,description_1,title_2,description_2,label,title_similarity,description_similarity,combined_similarity
The computer suddenly shut down because of an electrical problem.,There are visible electrical sparks near Lab 3. It happened again.,Computer is not working,There is a strong burning smell and possible fire near Lecture Hall 1. It happened again.,1,0.06510091186558999,0.1681547434947182,0.09601706135432844
Network connection is unavailable,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again.,Computer is not working,A possible gas leak has been reported near Lecture Hall 2.,0,0.047678583786932106,0.0793808057797547,0.057189250384778886
Projector is not displaying,A possible gas leak has been reported near Lab 3.,The presentation is not showing from the computer in Lecture Hall 2.,There is a strong burning smell and possible fire near Lecture Hall 2. It happened again.,1,0.05191882656557064,0.05165029843389035,0.05183826812606655
Cleaning request,A possible gas leak has been reported near Lecture Hall 3. It happened again.,Projector is not displaying,There are visible electrical sparks near Lecture Hall 4.,0,0.0,0.15436040508814292,0.046308121526442876
Electrical problem,There is a strong burning smell and possible fire near Lecture Hall 4.,Electrical problem,There are visible electrical sparks near Lab 2. It happened again.,1,1.0,0.03901229787897507,0.7117036893636924
Electrical problem,There is a strong burning smell and possible fire near Lab 1. It happened again.,Electrical problem,There is a strong burning smell and possible fire near Lecture Hall 3.,0,1.0,0.8148399959248913,0.9444519987774673
Network connection is unavailable,There is a strong burning smell and possible fire near Lecture Hall 4. It happened again.,Required software is not working,There are visible electrical sparks near Lab 3.,0,0.029119832445505308,0.0405412503540353,0.032546257818064306
Computer is not working,There is smoke coming from an electrical outlet in Lecture Hall 2.,Computer is not working,There is a strong burning smell and possible fire near Lab 1. It happened again. It happened again.,1,1.0,0.05872983401194332,0.7176189502035829
WiFi is not working,A possible gas leak has been reported near Lecture Hall 3. It happened again.,Electrical problem,There are visible electrical sparks near Lab 2.,0,0.0,0.022715412553750838,0.0068146237661252515
Plumbing problem,A possible gas leak has been reported near Lecture Hall 2.,Plumbing problem,There is a strong burning smell and possible fire near Lecture Hall 1. It happened again.,1,1.0000000000000002,0.1679244213234656,0.7503773263970397
WiFi is not working,A possible gas leak has been reported near Lecture Hall 4.,The connection keeps dropping in Lab 3.,There is a strong burning smell and possible fire near Lecture Hall 3. It happened again.,1,0.0,0.1679244213234656,0.05037732639703968
The network connection is unstable in Lecture Hall 2.,There are visible electrical sparks near Lecture Hall 2. It happened again.,Lighting problem,A possible gas leak has been reported near Lecture Hall 3.,0,0.0,0.15376381006555173,0.04612914301966552
WiFi is not working,A possible gas leak has been reported near Lab 3. It happened again.,The program is not working on the computer in Classroom 103.,There are visible electrical sparks near Lecture Hall 1.,0,0.12960905777579493,0.022419625450779652,0.09745222807829033
WiFi is not working,A possible gas leak has been reported near Lab 3. It happened again. It happened again.,Furniture needs repair,There is a strong burning smell and possible fire near Lecture Hall 1.,0,0.0,0.039543641858286224,0.011863092557485867
Computer is not working,There is a strong burning smell and possible fire near Lecture Hall 1. It happened again. It happened again.,The image is not appearing from the laptop on the display.,There is a strong burning smell and possible fire near Lecture Hall 3.,0,0.06363622551320405,0.7530270240810789,0.2704534650835665
Lighting problem,A possible gas leak has been reported near Lecture Hall 3.,Lighting problem,There are visible electrical sparks near Lecture Hall 1. It happened again.,1,1.0000000000000002,0.15376381006555173,0.7461291430196656
Computer is not working,There is a strong burning smell and possible fire near Lecture Hall 1.,Computer is not working,There is a strong burning smell and possible fire near Lecture Hall 1. It happened again. It happened again.,1,1.0,0.7530270240810789,0.9259081072243236
WiFi is not working,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again. It happened again.,We cannot access the internet in Classroom 105.,There is smoke coming from an electrical outlet in Lab 2.,0,0.0,0.632073703767433,0.1896221111302299
The computer suddenly turned off in Classroom 101.,There is a strong burning smell and possible fire near Lab 3.,Electrical problem,A possible gas leak has been reported near Lab 3. It happened again.,1,0.0,0.1438892452129336,0.04316677356388007
Air conditioner problem,A possible gas leak has been reported near Lecture Hall 1.,Air conditioner problem,There is a strong burning smell and possible fire near Lecture Hall 3. It happened again.,1,1.0,0.1679244213234656,0.7503773263970397
Lighting problem,There is a strong burning smell and possible fire near Lecture Hall 4. It happened again.,The display does not work when connecting the laptop.,There is a strong burning smell and possible fire near Lecture Hall 1.,0,0.0,0.9172394061751213,0.2751718218525364
Cleaning request,A possible gas leak has been reported near Lab 1.,Cleaning request,There are visible electrical sparks near Lecture Hall 2. It happened again.,1,1.0000000000000002,0.022614530485324226,0.7067843591455973
Required software is not working,There is a strong burning smell and possible fire near Lecture Hall 2. It happened again.,Projector is not displaying,There are visible electrical sparks near Lecture Hall 3.,0,0.11293570245525719,0.15926947274398578,0.12683583354187575
Computer is not working,There is smoke coming from an electrical outlet in Lab 3.,Computer is not working,There are visible electrical sparks near Lecture Hall 2. It happened again.,1,1.0,0.05284075895371445,0.7158522276861143
Furniture needs repair,There is smoke coming from an electrical outlet in Lecture Hall 3. It happened again. It happened again.,WiFi is not working,A possible gas leak has been reported near Lecture Hall 2.,0,0.0,0.06492720927667939,0.019478162783003815
Computer is not working,A possible gas leak has been reported near Lecture Hall 4. It happened again.,Electrical problem,There are visible electrical sparks near Lab 1.,0,0.0,0.022715412553750838,0.0068146237661252515
Required software is not working,There are visible electrical sparks near Lecture Hall 1.,Required software is not working,A possible gas leak has been reported near Lab 1. It happened again.,1,1.0000000000000002,0.022419625450779652,0.7067258876352339
WiFi is not working,There is smoke coming from an electrical outlet in Lecture Hall 2.,WiFi is not working,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again.,1,1.0000000000000002,0.9152546664683159,0.9745763999404948
Internet is not working in Lab 3.,A possible gas leak has been reported near Lecture Hall 4. It happened again. It happened again.,Printer is not working,There is smoke coming from an electrical outlet in Lecture Hall 2.,0,0.17211209186539123,0.06171297325150263,0.13899235628122464
Required software is not working,A possible gas leak has been reported near Lab 1. It happened again.,General maintenance request,A possible gas leak has been reported near Lecture Hall 2.,0,0.0,0.7696103361293262,0.23088310083879784
Network connection is unavailable,A possible gas leak has been reported near Lab 1. It happened again.,Furniture needs repair,There is a strong burning smell and possible fire near Lab 1.,0,0.0,0.1438892452129336,0.04316677356388007
WiFi is not working,A possible gas leak has been reported near Lecture Hall 4.,WiFi is not working,There is smoke coming from an electrical outlet in Lecture Hall 4. It happened again.,1,1.0000000000000002,0.0793808057797547,0.7238142417339265
Network connection is unavailable,There is a strong burning smell and possible fire near Lecture Hall 3. It happened again.,Furniture needs repair,There are visible electrical sparks near Lecture Hall 4.,0,0.0,0.15926947274398578,0.04778084182319573
The network connection is unstable in Lab 4.,A possible gas leak has been reported near Lecture Hall 3.,Network connection is unavailable,There is a strong burning smell and possible fire near Lecture Hall 3. It happened again.,1,0.3868334754007352,0.1679244213234656,0.3211607591775543
Air conditioner problem,There are visible electrical sparks near Lecture Hall 4.,Air conditioner problem,There are visible electrical sparks near Lecture Hall 1. It happened again.,1,1.0,0.8942431658111749,0.9682729497433524
WiFi is not working,A possible gas leak has been reported near Lab 3. It happened again.,The room is hot and the AC is not working.,A possible gas leak has been reported near Lecture Hall 2.,0,0.17198357685618085,0.7696103361293262,0.35127160463812446
WiFi is not working,A possible gas leak has been reported near Lab 3.,WiFi is not working,A possible gas leak has been reported near Lecture Hall 1. It happened again.,1,1.0000000000000002,0.779312948741659,0.9337938846224978
Required software is not working,A possible gas leak has been reported near Lecture Hall 4.,Required software is not working,There is a strong burning smell and possible fire near Lecture Hall 4. It happened again.,1,1.0000000000000002,0.1679244213234656,0.7503773263970397
WiFi is not working,A possible gas leak has been reported near Lab 2. It happened again.,Lighting problem,There is smoke coming from an electrical outlet in Lab 3.,0,0.0,0.039406849809792525,0.011822054942937758
Possible gas leak,A possible gas leak has been reported near Lecture Hall 2.,Electrical problem,There is a strong burning smell and possible fire near Lecture Hall 1. It happened again.,1,0.0,0.1679244213234656,0.05037732639703968
Network connection is unavailable,There is a strong burning smell and possible fire near Lab 3.,Network connection is unavailable,There are visible electrical sparks near Lecture Hall 3. It happened again.,1,1.0,0.03937879656590962,0.7118136389697728
Air conditioner problem,There is smoke coming from an electrical outlet in Lecture Hall 4.,Air conditioner problem,A possible gas leak has been reported near Lab 1. It happened again.,1,1.0,0.0,0.7
WiFi is not working,There are visible electrical sparks near Lecture Hall 2.,WiFi is not working,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again.,1,1.0000000000000002,0.13450672713821177,0.7403520181414636
Computer is not working,There is a strong burning smell and possible fire near Lab 1. It happened again. It happened again.,WiFi is not working,There is smoke coming from an electrical outlet in Lecture Hall 1.,0,0.4872459056692181,0.05872983401194332,0.35869108417203566
Computer is not working,There are visible electrical sparks near Lab 2. It happened again.,Cleaning request,There is smoke coming from an electrical outlet in Lab 1.,0,0.0,0.09296892831801354,0.02789067849540406
Furniture needs repair,There is a strong burning smell and possible fire near Lecture Hall 3.,Furniture needs repair,There is smoke coming from an electrical outlet in Lecture Hall 3. It happened again. It happened again.,1,1.0000000000000002,0.11578231837686284,0.7347346955130589
Lighting problem,There are visible electrical sparks near Lecture Hall 1. It happened again.,We cannot access the internet in Lab 3.,A possible gas leak has been reported near Lab 1.,0,0.0,0.022614530485324226,0.006784359145597268
Computer is not working,There is smoke coming from an electrical outlet in Lecture Hall 3.,Computer is not working,A possible gas leak has been reported near Lecture Hall 4. It happened again.,1,1.0,0.07785938319355601,0.7233578149580667
Cleaning request,There are visible electrical sparks near Lab 2.,Cleaning request,There is smoke coming from an electrical outlet in Lab 3. It happened again.,1,1.0000000000000002,0.09547154905225085,0.7286414647156754
Network connection is unavailable,There is smoke coming from an electrical outlet in Lab 3.,Network connection is unavailable,There are visible electrical sparks near Lecture Hall 1. It happened again.,1,1.0,0.05284075895371445,0.7158522276861143
Plumbing problem,There is a strong burning smell and possible fire near Lecture Hall 1. It happened again.,Computer is not working,There is smoke coming from an electrical outlet in Lecture Hall 4.,0,0.0,0.14186385620925893,0.042559156862777676
Furniture needs repair,There is smoke coming from an electrical outlet in Lab 3.,Furniture needs repair,There is smoke coming from an electrical outlet in Lab 2. It happened again.,1,1.0000000000000002,0.9064069808747843,0.9719220942624354
The room is hot and the AC is not working.,A possible gas leak has been reported near Lecture Hall 2. It happened again.,Projector is not displaying,There is smoke coming from an electrical outlet in Lecture Hall 1.,0,0.07314837934783752,0.07785938319355601,0.07456168050155307
Air conditioner problem,There is a strong burning smell and possible fire near Lab 1. It happened again.,Lighting problem,A possible gas leak has been reported near Lecture Hall 2.,0,0.13119379429274705,0.05099135396196107,0.10713306219351125
WiFi is not working,There is a strong burning smell and possible fire near Lab 2.,WiFi is not working,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again. It happened again.,1,1.0000000000000002,0.05898188634529644,0.717694565903589
WiFi is not working,There are visible electrical sparks near Lab 2. It happened again.,The display does not work when connecting the laptop.,A possible gas leak has been reported near Lecture Hall 4.,0,0.023717047758072398,0.0223341957571437,0.023302192157793788
Air conditioner problem,There are visible electrical sparks near Lecture Hall 1.,Air conditioner problem,There is a strong burning smell and possible fire near Lab 1. It happened again.,1,1.0,0.040000882433706426,0.7120002647301119
Cleaning request,There is a strong burning smell and possible fire near Lecture Hall 2. It happened again.,Furniture needs repair,A possible gas leak has been reported near Lecture Hall 3.,0,0.0,0.1679244213234656,0.05037732639703968
Electrical problem,A possible gas leak has been reported near Lab 1.,Electrical problem,There is a strong burning smell and possible fire near Lab 2. It happened again.,1,1.0,0.14743299549032549,0.7442298986470977
Projector is not displaying,There is smoke coming from an electrical outlet in Lab 3.,The image is not appearing from the laptop on the display.,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again.,1,0.048120623772563154,0.7727810955718152,0.26551876531233876
Air conditioner problem,A possible gas leak has been reported near Lecture Hall 3. It happened again.,Printer is not working,A possible gas leak has been reported near Lecture Hall 2.,0,0.0,0.8977127795094942,0.26931383385284824
Cleaning request,There are visible electrical sparks near Lecture Hall 2. It happened again.,WiFi is not working,There is smoke coming from an electrical outlet in Lecture Hall 4.,0,0.0,0.13141885630925465,0.03942565689277639
Projector is not displaying,There is smoke coming from an electrical outlet in Lab 1. It happened again.,Required software is not working,There are visible electrical sparks near Lab 2.,0,0.11293570245525719,0.09547154905225085,0.10769645643435527
The room is hot and the AC is not working.,A possible gas leak has been reported near Lecture Hall 1. It happened again.,Air conditioner problem,A possible gas leak has been reported near Lecture Hall 3. It happened again.,1,0.0,1.0000000000000002,0.30000000000000004
Printer is not working,A possible gas leak has been reported near Lecture Hall 3. It happened again.,Projector is not displaying,There is smoke coming from an electrical outlet in Lecture Hall 2.,0,0.13699729683750902,0.07785938319355601,0.1192559227443231
Computer is not working,There are visible electrical sparks near Lecture Hall 2.,The computer has a problem when opening the program.,There is a strong burning smell and possible fire near Lab 2. It happened again.,1,0.06891790360941585,0.040000882433706426,0.06024279725670302
Air conditioner problem,There is a strong burning smell and possible fire near Lab 2. It happened again.,Computer is not working,There are visible electrical sparks near Lecture Hall 3.,0,0.0,0.040000882433706426,0.012000264730111928
Computer is not working,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again. It happened again.,Cleaning request,There are visible electrical sparks near Lecture Hall 3.,0,0.0,0.11001584496703598,0.03300475349011079
Projector is not displaying,A possible gas leak has been reported near Lab 3.,Projector is not displaying,There is smoke coming from an electrical outlet in Lab 1. It happened again.,1,1.0,0.04029011928953558,0.7120870357868606
Computer is not working,A possible gas leak has been reported near Lecture Hall 3.,Computer is not working,There is smoke coming from an electrical outlet in Lecture Hall 3. It happened again.,1,1.0,0.0793808057797547,0.7238142417339264
Projector is not displaying,There is smoke coming from an electrical outlet in Lecture Hall 3. It happened again. It happened again.,Plumbing problem,There is smoke coming from an electrical outlet in Lab 2.,0,0.0,0.632073703767433,0.1896221111302299
WiFi is not working,There is a strong burning smell and possible fire near Lab 1. It happened again.,Network connection is unavailable,There are visible electrical sparks near Lecture Hall 2.,0,0.04879150301218242,0.040000882433706426,0.04615431683863962
Computer is not working,There are visible electrical sparks near Lab 1.,Computer is not working,There is smoke coming from an electrical outlet in Lecture Hall 3. It happened again.,1,1.0,0.05435082072994109,0.7163052462189823
WiFi is not working,A possible gas leak has been reported near Lab 3.,WiFi is not working,There is smoke coming from an electrical outlet in Lecture Hall 3. It happened again.,1,1.0000000000000002,0.0,0.7000000000000001
Network connection is unavailable,A possible gas leak has been reported near Lab 3. It happened again.,Computer is not working,There is smoke coming from an electrical outlet in Lecture Hall 4.,0,0.047678583786932106,0.0,0.033375008650852474
Internet is not working in Lab 3.,A possible gas leak has been reported near Lab 1.,We cannot access the internet in Lab 3.,A possible gas leak has been reported near Lecture Hall 4. It happened again.,1,0.3292165188054271,0.779312948741659,0.46424544778629667
Furniture needs repair,There are visible electrical sparks near Lab 3.,Furniture needs repair,There is a strong burning smell and possible fire near Lab 3. It happened again.,1,1.0000000000000002,0.13826293748326313,0.741478881244979
Network connection is unavailable,There is a strong burning smell and possible fire near Lecture Hall 3.,Network connection is unavailable,There is a strong burning smell and possible fire near Lecture Hall 2. It happened again.,1,1.0,0.9172394061751213,0.9751718218525364
Projector is not displaying,There is a strong burning smell and possible fire near Lab 2. It happened again.,Required software is not working,A possible gas leak has been reported near Lecture Hall 3.,0,0.11293570245525719,0.05099135396196107,0.09435239790726835
Electrical problem,There are visible electrical sparks near Lab 2. It happened again.,Air conditioner problem,There is smoke coming from an electrical outlet in Lecture Hall 4.,0,0.15353739003943112,0.05241447643245055,0.12320051595733694
Computer is not working,A possible gas leak has been reported near Lab 3. It happened again.,The AC stopped after the power went off.,There is a strong burning smell and possible fire near Lecture Hall 3.,0,0.0,0.049921374894531814,0.014976412468359544
The connection keeps dropping in Lab 3.,A possible gas leak has been reported near Lab 1.,Network connection is unavailable,A possible gas leak has been reported near Lab 3. It happened again.,1,0.07960373471538838,0.8865360637231269,0.3216834334177099
Network connection is unavailable,There is a strong burning smell and possible fire near Lab 3.,Network connection is unavailable,There is a strong burning smell and possible fire near Lecture Hall 4. It happened again.,1,1.0,0.8227962057104163,0.9468388617131248
Electrical problem,There is a strong burning smell and possible fire near Lab 2. It happened again.,The room is hot and the AC is not working.,There is a strong burning smell and possible fire near Lecture Hall 1.,0,0.0,0.8148399959248913,0.24445199877746737
Computer is not working,There is a strong burning smell and possible fire near Lecture Hall 1. It happened again.,Computer is not working,There is smoke coming from an electrical outlet in Lab 3.,0,1.0,0.07217803657849589,0.7216534109735487
Computer is not working,There is a strong burning smell and possible fire near Lab 2.,Computer is not working,A possible gas leak has been reported near Lecture Hall 4. It happened again.,1,1.0,0.050393113228888134,0.7151179339686664
Air conditioner problem,A possible gas leak has been reported near Lab 1. It happened again.,WiFi is not working,There is a strong burning smell and possible fire near Lecture Hall 4.,0,0.0,0.049921374894531814,0.014976412468359544
The network connection is unstable in Lab 2.,There is a strong burning smell and possible fire near Lecture Hall 1. It happened again.,Computer is not working,There is smoke coming from an electrical outlet in Lecture Hall 4.,0,0.028522790142747494,0.14186385620925893,0.06252510996270091
Computer is not working,There are visible electrical sparks near Lecture Hall 4.,Computer is not working,There are visible electrical sparks near Lecture Hall 4. It happened again.,1,1.0,0.8942431658111749,0.9682729497433524
Furniture needs repair,A possible gas leak has been reported near Lecture Hall 1. It happened again.,WiFi is not working,A possible gas leak has been reported near Lab 1.,0,0.0,0.779312948741659,0.2337938846224977
WiFi is not working,There is a strong burning smell and possible fire near Lecture Hall 1.,WiFi is not working,A possible gas leak has been reported near Lab 3. It happened again.,1,1.0000000000000002,0.049921374894531814,0.7149764124683596
Projector is not displaying,There is a strong burning smell and possible fire near Lab 2. It happened again.,Projector is not displaying,There is a strong burning smell and possible fire near Lab 2. It happened again.,1,1.0,1.0000000000000002,1.0
WiFi is not working,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again.,General maintenance request,There is a strong burning smell and possible fire near Lecture Hall 1. It happened again.,0,0.0,0.290321636949134,0.0870964910847402
Projector is not displaying,There is a strong burning smell and possible fire near Lab 1.,Projector is not displaying,There is smoke coming from an electrical outlet in Lecture Hall 3. It happened again. It happened again.,1,1.0,0.05898188634529644,0.7176945659035889
WiFi is not working,There are visible electrical sparks near Lab 3.,WiFi is not working,There are visible electrical sparks near Lab 2. It happened again.,1,1.0000000000000002,0.8826470971553609,0.9647941291466083
Computer is not working,There are visible electrical sparks near Lecture Hall 2. It happened again.,The computer suddenly shut down because of an electrical problem.,There is smoke coming from an electrical outlet in Lecture Hall 3.,0,0.06510091186558999,0.13141885630925465,0.08499629519868937
Network connection is unavailable,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again.,Computer is not working,A possible gas leak has been reported near Lecture Hall 1.,0,0.047678583786932106,0.0793808057797547,0.057189250384778886
Air conditioner problem,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again. It happened again.,Cleaning request,There are visible electrical sparks near Lecture Hall 1.,0,0.0,0.11001584496703598,0.03300475349011079
Network connection is unavailable,There is smoke coming from an electrical outlet in Lecture Hall 2.,Network connection is unavailable,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again.,1,1.0,0.9152546664683159,0.9745763999404947
Printer is not working,There is a strong burning smell and possible fire near Lab 1.,Printer is not working,A possible gas leak has been reported near Lecture Hall 3. It happened again.,1,1.0,0.050393113228888134,0.7151179339686664
Network connection is unavailable,There is smoke coming from an electrical outlet in Lecture Hall 3. It happened again. It happened again.,Projector is not displaying,There is smoke coming from an electrical outlet in Lab 2.,0,0.03605372842145602,0.632073703767433,0.2148597210252491
The image is not appearing from the laptop on the display.,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again.,Network connection is unavailable,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again.,0,0.01240763081086241,1.0000000000000007,0.3086853415676039
Network connection is unavailable,There are visible electrical sparks near Lecture Hall 3.,Network connection is unavailable,There is smoke coming from an electrical outlet in Lecture Hall 3. It happened again. It happened again.,1,1.0,0.11001584496703598,0.7330047534901107
The presentation is not showing from the computer in Lecture Hall 2.,There is a strong burning smell and possible fire near Lecture Hall 2. It happened again.,The presentation is not showing from the computer in Lecture Hall 2.,There are visible electrical sparks near Lab 1.,0,1.0000000000000004,0.0405412503540353,0.7121623751062108
Projector is not displaying,There is a strong burning smell and possible fire near Lab 2.,Projector is not displaying,There is smoke coming from an electrical outlet in Lab 1. It happened again.,1,1.0,0.1076626997785349,0.7322988099335604
WiFi is not working,There is a strong burning smell and possible fire near Lab 1.,WiFi is not working,There is smoke coming from an electrical outlet in Lab 2. It happened again.,1,1.0000000000000002,0.1076626997785349,0.7322988099335606
WiFi is not working,There is a strong burning smell and possible fire near Lab 3.,Internet is not working in Lab 3.,A possible gas leak has been reported near Lecture Hall 4. It happened again. It happened again.,1,0.23773108230993584,0.03994263403067528,0.17839454782615766
WiFi is not working,A possible gas leak has been reported near Lecture Hall 4.,WiFi is not working,There are visible electrical sparks near Lecture Hall 2. It happened again.,1,1.0000000000000002,0.15376381006555173,0.7461291430196656
Projector is not displaying,There is a strong burning smell and possible fire near Lecture Hall 4. It happened again.,Network connection is unavailable,There is smoke coming from an electrical outlet in Lab 1. It happened again.,0,0.03605372842145602,0.18438006580036825,0.08055162963512968
Air conditioner problem,There is a strong burning smell and possible fire near Lecture Hall 3. It happened again.,WiFi is not working,There is smoke coming from an electrical outlet in Lab 1. It happened again.,0,0.0,0.18438006580036825,0.05531401974011047
WiFi is not working,There are visible electrical sparks near Lecture Hall 3.,WiFi is not working,A possible gas leak has been reported near Lab 3. It happened again.,1,1.0000000000000002,0.022419625450779652,0.7067258876352339
WiFi is not working,A possible gas leak has been reported near Lab 3.,WiFi is not working,There is a strong burning smell and possible fire near Lab 1. It happened again.,1,1.0000000000000002,0.14743299549032549,0.7442298986470977
Network connection is unavailable,There is a strong burning smell and possible fire near Lecture Hall 2. It happened again.,WiFi is not working,A possible gas leak has been reported near Lecture Hall 4. It happened again. It happened again.,0,0.04879150301218242,0.36168818841423844,0.14266050863279922
Required software is not working,There is a strong burning smell and possible fire near Lecture Hall 4. It happened again.,Cleaning request,There is smoke coming from an electrical outlet in Lab 1. It happened again.,0,0.0,0.18438006580036825,0.05531401974011047
The computer has a problem when opening the program.,There are visible electrical sparks near Lecture Hall 2.,Computer is not working,There is smoke coming from an electrical outlet in Lecture Hall 1. It happened again. It happened again.,1,0.06891790360941585,0.11001584496703598,0.08124728601670189
WiFi is not working,There is smoke coming from an electrical outlet in Lab 3.,WiFi is not working,A possible gas leak has been reported near Lab 2. It happened again.,1,1.0000000000000002,0.039406849809792525,0.7118220549429378
Air conditioner problem,There are visible electrical sparks near Lecture Hall 3. It happened again.,Cleaning request,There are visible electrical sparks near Lecture Hall 3. It happened again.,0,0.0,1.0000000000000002,0.30000000000000004
Computer is not working,There is smoke coming from an electrical outlet in Lab 2.,Computer is not working,A possible gas leak has been reported near Lab 3. It happened again.,1,1.0,0.039406849809792525,0.7118220549429377
WiFi is not working,A possible gas leak has been reported near Lab 2. It happened again.,Air conditioner problem,There is smoke coming from an electrical outlet in Lab 3.,0,0.0,0.039406849809792525,0.011822054942937758
Projector is not displaying,There is a strong burning smell and possible fire near Lab 1.,Projector is not displaying,A possible gas leak has been reported near Lecture Hall 3. It happened again.,1,1.0,0.050393113228888134,0.7151179339686664
Computer is not working,There is smoke coming from an electrical outlet in Lecture Hall 3. It happened again.,Plumbing problem,There is smoke coming from an electrical outlet in Lab 3.,0,0.0,0.7727810955718152,0.23183432867154455
Air conditioner problem,There are visible electrical sparks near Lecture Hall 1.,Air conditioner problem,There are visible electrical sparks near Lecture Hall 3. It happened again.,1,1.0,0.8942431658111749,0.9682729497433524
Computer is not working,There is smoke coming from an electrical outlet in Lab 1. It happened again. It happened again.,WiFi is not working,There are visible electrical sparks near Lecture Hall 2.,0,0.4872459056692181,0.04380534433706017,0.3542137372695707
Projector is not displaying,There is smoke coming from an electrical outlet in Lab 1. It happened again.,Lighting problem,There are visible electrical sparks near Lab 2.,0,0.0,0.09547154905225085,0.028641464715675254
The image is not appearing from the laptop on the display.,There is a strong burning smell and possible fire near Lecture Hall 4. It happened again.,Printer is not working,There is smoke coming from an electrical outlet in Lab 1.,0,0.04714663241969619,0.07217803657849589,0.0546560536673361
WiFi is not working,There is smoke coming from an electrical outlet in Lab 2. It happened again.,Cleaning request,A possible gas leak has been reported near Lab 1.,0,0.0,0.04029011928953558,0.012087035786860675
Air conditioner problem,There is smoke coming from an electrical outlet in Lab 3.,Air conditioner problem,There is a strong burning smell and possible fire near Lab 2. It happened again.,1,1.0,0.10789586138502633,0.7323687584155079
Electrical problem,There are visible electrical sparks near Lab 2.,Electrical problem,There is smoke coming from an electrical outlet in Lecture Hall 3. It happened again.,1,1.0,0.05435082072994109,0.7163052462189823
